192.168.1.1,14:7d:05:85:c8:84,SAX1V1R.lan
192.168.1.178,6c:02:e0:a5:b3:a8,HPA5B3A7.lan
192.168.1.162,2c:58:b9:24:2e:6c,HP242E6C.lan
