000119         	RTUnet
00011a         	HoffmannundB
00011b         	UnizoneTechn
00011c         	UniversalTal
00011d         	CentilliumCo
00011e         	PrecidiaTech
00011f         	RCNetworks
000120         	Oscilloquart
000121         	WatchGuardTe
000122         	TrendCommuni
000123         	SchneiderEle
000124         	Acer
000125         	YaesuMusen
000126         	PACLabs
000127         	OPENNetworks
000128         	EnjoyWeb
000129         	DFI
00012a         	TelematicaSi
00012b         	TELENET
00012c         	AravoxTechno
00012d         	KomodoTechno
00012e         	PCPartner
00012f         	TwinheadInte
000130         	ExtremeNetwo
000131         	BoschSecurit
000132         	DranetzBMI
000133         	KYOWAElectro
000134         	Selectron
000135         	KDC
000136         	CyberTANTech
000137         	ITFarm
000138         	XAViTechnolo
000139         	PointMultime
00013a         	ShelcadCommu
00013b         	Bna
00013c         	Tiw
00013d         	RiscStation
00013e         	AscomTateco
00013f         	NeighborWorl
000140         	Sendtek
000141         	CablePrint
000142         	Cisco
000143         	Cisco
000144         	DellEMC
000145         	Winsystems
000146         	TescoControl
000147         	DZS
000148         	XtraWeb
000149         	Tdt
00014a         	Sony
00014b         	EnnovateNetw
00014c         	BerkeleyProc
00014d         	ShinKinEnter
00014e         	WINEnterpris
00014f         	Adtran
000150         	GilatCommuni
000151         	EnsembleComm
000152         	Chromatek
000153         	ArchtekTelec
000154         	G3M
000155         	PromiseTechn
000156         	Firewiredire
000157         	Syswave
000158         	ElectroIndus
000159         	S1
00015a         	DigitalVideo
00015b         	ITALTELRFUPI
00015c         	Cadant
00015d         	Oracle
00015e         	BestTechnolo
00015f         	DIGITALDESIG
000160         	ELMEX
000161         	MetaMachineT
000162         	CygnetTechno
000163         	Cisco
000164         	Cisco
000165         	AirSwitch
000166         	TcGroup
000167         	HiokiEE
000168         	Vitana
000169         	CelestixNetw
00016a         	Alitec
00016b         	LightChip
00016c         	Foxconn
00016d         	CarrierComm
00016e         	Conklin
00016f         	Inkel
000170         	ESEEmbeddedS
000171         	AlliedDataTe
000172         	TechnoLand
000173         	Amcc
000174         	CyberOptics
000175         	RadiantCommu
000176         	OrientSilver
000177         	Edsl
000178         	MARGI
000179         	WirelessTech
00017a         	MaipuElectri
00017b         	Heidelberger
00017c         	AGE
00017d         	ThermoQuest
00017e         	ADTEKSystemS
00017f         	ExperienceMu
000180         	AOpen
000181         	NortelNetwor
000182         	DicaTechnolo
000183         	AniteTelecom
000184         	SiebMeyer
000185         	HitachiAloka
000186         	UweDisch
000187         	I2SE
000188         	LXCOTechnolo
000189         	RefractionTe
00018a         	RoiComputer
00018b         	NetLinks
00018c         	MegaVision
00018d         	AudeSiTechno
00018e         	Logitec
00018f         	Kenetec
000190         	SmkM
000191         	SYREDData
000192         	TexasDigital
000193         	HanbyulTelec
000194         	CapitalEquip
000195         	SenaTechnolo
000196         	Cisco
000197         	Cisco
000198         	DarimVision
000199         	HeiSeiElectr
00019a         	LEUNIG
00019b         	KyotoMicroco
00019c         	Lumentum
00019d         	EControl
00019e         	ESSTechnolog
00019f         	ReadyNet
0001a0         	Infinilink
0001a1         	MagTek
0001a2         	Logical
0001a3         	GenesysLogic
0001a4         	Microlink
0001a5         	Nextcomm
0001a6         	ScientificAt
0001a7         	UnexTechnolo
0001a8         	WelltechComp
0001a9         	Bmw
0001aa         	AirspanCommu
0001ab         	MainStreetNe
0001ac         	SitaraNetwor
0001ad         	CoachMasterI
0001ae         	TrexEnterpri
0001af         	ArtesynEmbed
0001b0         	FulltekTechn
0001b1         	GeneralBandw
0001b2         	DigitalProce
0001b3         	PrecisionEle
0001b4         	Wayport
0001b5         	TurinNetwork
0001b6         	SAEJINT&M
0001b7         	Centos
0001b8         	Netsensity
0001b9         	SKF
0001ba         	ICNet
0001bb         	Frequentis
0001bc         	Brains
0001bd         	PetersonElec
0001be         	Gigalink
0001bf         	Teleforce
0001c0         	CompuLab
0001c1         	VitesseSemic
0001c2         	ARKResearch
0001c3         	Acromag
0001c4         	NeoWave
0001c5         	SimplerNetwo
0001c6         	QuarryTechno
0001c7         	Cisco
0001c8         	ThomasConrad
0001c9         	Cisco
0001ca         	GeocastNetwo
0001cb         	Evr
0001cc         	JapanTotalDe
0001cd         	ARtem
0001ce         	CustomMicroP
0001cf         	AlphaDataPar
0001d0         	VitalPoint
0001d1         	CoNetCommuni
0001d2         	inXtron
0001d3         	PAXCOMM
0001d4         	LeisureTime
0001d5         	HaedongInfoC
0001d6         	manroland
0001d7         	F5Networks
0001d8         	Teltronics
0001d9         	Sigma
0001da         	WINCOMM
0001db         	FreecomTechn
0001dc         	Activetelco
0001dd         	AvailNetwork
0001de         	Trango
0001df         	ISDNCommunic
0001e0         	Fast
0001e1         	KinpoElectro
0001e2         	AndoElectric
0001e3         	Siemens
0001e4         	Sitera
0001e5         	Supernet
0001e6         	HewlettPacka
0001e7         	HewlettPacka
0001e8         	Force10Netwo
0001e9         	LittonMarine
0001ea         	Cirilium
0001eb         	CCOM
0001ec         	EricssonGrou
0001ed         	SETA
0001ee         	ComtrolEurop
0001ef         	CamtelTechno
0001f0         	Tridium
0001f1         	InnovativeCo
0001f2         	MarkUnicorn
0001f3         	QPS
0001f4         	Enterasys
0001f5         	Erim
0001f6         	AssociationM
0001f7         	ImageDisplay
0001f8         	TexioTechnol
0001f9         	TeraGlobalCo
0001fa         	Horoscas
0001fb         	DoTopTechnol
0001fc         	Keyence
0001fd         	DigitalVoice
0001fe         	DigitalEquip
0001ff         	DataDirectNe
000200         	NetSys
000201         	IFMElectroni
000202         	AminoCommuni
000203         	WoonsangTele
000204         	BodmannIndus
000205         	HitachiDensh
000206         	TelitalR&DDe
000207         	VisionGlobal
000208         	UnifyNetwork
000209         	SEDInformati
00020a         	Gefran
00020b         	NativeNetwor
00020c         	MetroOptix
00020d         	Micronpccom
00020e         	ECITelecom
00020f         	Aatr
000210         	Fenecom
000211         	NatureWorldw
000212         	SierraCom
000213         	SDEL
000214         	Dtvro
000215         	CotasCompute
000216         	Cisco
000217         	Cisco
000218         	AdvancedScie
000219         	ParalonTechn
00021a         	ZumaNetworks
00021b         	KollmorgenSe
00021c         	NetworkEleme
00021d         	DataGeneralC
00021e         	Simtel
00021f         	Aculab
000220         	CanonFinetec
000221         	DSPApplicati
000222         	Chromisys
000223         	ClickTV
000224         	CCor
000225         	OneStop
000226         	XESystems
000227         	ESDElectroni
000228         	Necsom
000229         	Adtec
00022a         	AsoundElectr
00022b         	SAXA
00022c         	ABBBomem
00022d         	Agere
00022e         	TEACR&D
00022f         	PCube
000230         	IntersoftEle
000231         	IngersollRan
000232         	Avision
000233         	MantraCommun
000234         	ImperialTech
000235         	ParagonNetwo
000236         	INIT
000237         	CosmoResearc
000238         	SeromeTechno
000239         	Visicom
00023a         	ZSKStickmasc
00023b         	Ericsson
00023c         	CreativeTech
00023d         	Cisco
00023e         	SeltaTelemat
00023f         	CompalElectr
000240         	Seedek
000241         	Amercom
000242         	Videoframe
000243         	Raysis
000244         	SURECOMTechn
000245         	Lampus
000246         	AllWinTech
000247         	GreatDragonI
000248         	Pilz
000249         	AvivInfocom
00024a         	Cisco
00024b         	Cisco
00024c         	SiByte
00024d         	MannesmanDem
00024e         	DatacardGrou
00024f         	IPMDatacom
000250         	GeyserNetwor
000251         	SomaNetworks
000252         	Carrier
000253         	Televideo
000254         	WorldGate
000255         	IBM
000256         	AlphaProcess
000257         	Microcom
000258         	FlyingPacket
000259         	TsannKuenChi
00025a         	CatenaNetwor
00025b         	CambridgeSil
00025c         	SCI
00025d         	CalixNetwork
00025e         	HighTechnolo
00025f         	NortelNetwor
000260         	AccordionNet
000261         	Tilgin
000262         	SoyoGroupSoy
000263         	RPS
000264         	AudioRampcom
000265         	Virditech
000266         	Thermalogic
000267         	NodeRunner
000268         	HarrisGovern
000269         	Nadatel
00026a         	CocessTeleco
00026b         	BCMComputers
00026c         	PhilipsCFT
00026d         	AdeptTelecom
00026e         	NeGeNAccess
00026f         	SenaoInterna
000270         	Crewave
000271         	DZS
000272         	CC&CTechnolo
000273         	CoriolisNetw
000274         	TommyTechnol
000275         	SMARTTechnol
000276         	PrimaxElectr
000277         	CashSystemes
000278         	SamsungElect
000279         	ControlAppli
00027a         	IOITechnolog
00027b         	AmplifyNet
00027c         	Trilithic
00027d         	Cisco
00027e         	Cisco
00027f         	asktechnolog
000280         	MuNet
000281         	Madge
000282         	ViaClix
000283         	SpectrumCont
000284         	UKGridSoluti
000285         	RiverstoneNe
000286         	OccamNetwork
000287         	Adapcom
